"year","biomass","rec_index1","rec_index2","rec_index3","TAC","catch","Fmsy","Bmsy","Brel","Brel_lwr","Brel_upr","Frel","Frel_lwr","Frel_upr"
1991,496.269473790123,46.6867569703216,30.0495963345881,15.9735663924279,69.5388311083282,55.9768526126957,0.15,500,0.992538947580247,0.812622160011603,1.21228980815591,0.751968511316882,0.6156597455614,0.918456413772036
1992,575.762403305604,51.1799786120607,30.6219769907344,29.6382959844919,69.5388311083282,74.7422634484482,0.15,500,1.15152480661121,0.942788772104772,1.40647557488479,0.865429478309491,0.708553728512215,1.05703795180033
1993,629.220374764195,50.7443703669143,38.0190948761166,16.7641727174466,69.5388311083282,82.9522932406223,0.15,500,1.25844074952839,1.0303241425654,1.53706300245513,0.878889671171347,0.719574002350577,1.07347826848717
1994,794.81483684585,59.622850368985,33.5557460175983,28.0606976167947,69.5388311083282,46.1465723919858,0.15,500,1.5896296736917,1.30147869985671,1.94157806790029,0.387063504208639,0.316900794289741,0.472760431623572
1995,904.114295913016,70.0992731869756,30.2963528330435,22.1387068465404,69.5388311083282,76.4455575971771,0.15,500,1.80822859182603,1.48045235672287,2.2085753894404,0.563686530510163,0.461507497624501,0.68848828310285
1996,1006.64274055123,79.6954310822703,56.8684103333657,21.0945119437871,128.537646413059,109.269993583511,0.15,500,2.01328548110246,1.64833873810398,2.45903243958237,0.723659541309732,0.592482321228583,0.88387975972463
1997,1009.68204740717,79.0702654937801,43.1249290707919,22.1364439015305,128.537646413059,175.337121846948,0.15,500,2.01936409481434,1.65331548608598,2.46645687513584,1.15770518912172,0.947848841331912,1.41402431112961
1998,691.442756672129,58.2812747031177,33.6183268839625,22.6573491964955,128.537646413059,125.526773669916,0.15,500,1.38288551334426,1.13221089776098,1.68906018021842,1.21028841465796,0.990900345174468,1.47824960783253
1999,572.581432603997,54.9557223271554,37.0120057736656,23.0848096474195,128.537646413059,146.709000581649,0.15,500,1.14516286520799,0.93758005502868,1.39870508210765,1.70815878438394,1.39852212791543,2.08634985062207
2000,523.970329681475,41.4742706726863,37.1482743623008,19.2210841667669,128.537646413059,130.61505661676,0.15,500,1.04794065936295,0.857981245221266,1.2799576117341,1.66186326741264,1.36061856444139,2.02980437850287
2001,473.28609823268,38.6134533779052,28.4975415793548,20.5198954747011,35.7987334048084,34.9482356273925,0.15,500,0.946572196465361,0.774987767254764,1.15614589156052,0.49227779642369,0.403042970989537,0.601269458332906
2002,414.836221881898,54.459663496958,40.0259644194214,11.1586647467747,35.7987334048084,25.9858493593252,0.15,500,0.829672443763796,0.679278344690782,1.01336421118259,0.417608170624394,0.341908652026828,0.510067771430858
2003,401.001772975266,39.757556790206,23.8767466185898,17.360898837461,35.7987334048084,31.6557767593863,0.15,500,0.802003545950532,0.656624967147291,0.979569343078217,0.5262782509998,0.430880188769629,0.642797707330866
2004,479.844004008554,41.0634761093757,32.6907936726277,13.6095993511117,35.7987334048084,27.888877653724,0.15,500,0.959688008017108,0.785726085523755,1.17216557996533,0.387471447953141,0.317234790378891,0.473258695238281
2005,473.369438593371,44.0910123747078,42.2162670792081,19.9790990160715,35.7987334048084,34.4311817930385,0.15,500,0.946738877186743,0.775124233887305,1.15634947585335,0.484909234182244,0.397010102476496,0.592269476087528
2006,454.173814554109,40.1545649717232,32.840453925952,17.7295138344828,29.4918836378603,21.7253952734892,0.15,500,0.908347629108218,0.743692138436371,1.10945829956103,0.318899865753208,0.261093127244591,0.389505175607876
2007,475.861996091243,61.5935648882355,47.7684357906853,15.5083316451954,29.4918836378603,34.406874628834,0.15,500,0.951723992182486,0.77920570084195,1.1624383090589,0.482028752193619,0.394651763288721,0.588751247441791
2008,457.261678630102,39.9353365948894,24.5427654419802,13.5914940970068,29.4918836378603,35.1873424851994,0.15,500,0.914523357260204,0.748748396997051,1.11700135095951,0.513015400585156,0.420021485261688,0.626598425253354
2009,334.937438059496,40.3272891462049,25.9578248573492,12.94968458898,29.4918836378603,24.0598960706425,0.15,500,0.669874876118992,0.548447161792922,0.818187021313939,0.478893336220971,0.392084701808222,0.584921641724819
2010,390.555261119487,38.922919535305,28.82571124393,13.0923750170234,29.4918836378603,27.7831770319629,0.15,500,0.781110522238973,0.63951920610985,0.954050546290613,0.474250890084461,0.388283788386754,0.579251345209077
2011,364.897779384516,48.3352118852628,27.8131412371134,17.2204613865913,42.0826491555056,34.9361740281263,0.15,500,0.729795558769031,0.597506067423936,0.891374308373537,0.6382823903369,0.522581422116944,0.779599872042556
2012,420.465558124932,44.1220864415498,26.2835519998352,21.9545389280985,42.0826491555056,45.6557615310905,0.15,500,0.840931116249863,0.688496166093959,1.02711558481029,0.723892213426352,0.592672817045844,0.884163946089616
2013,361.116449963098,41.4376508997371,16.2192854932015,13.7602321991823,42.0826491555056,41.7634128215594,0.15,500,0.722232899926196,0.591314286054269,0.882137256003873,0.771005453150034,0.631245875284758,0.941708187033983
2014,413.561440781462,46.0213931009008,24.4644264084427,17.7215517102569,42.0826491555056,44.8468660918089,0.15,500,0.827122881562923,0.677190939710043,1.01025016887834,0.722937580239053,0.591891229497494,0.882997954481618
2015,376.201472697028,37.662930490585,15.1905077222309,12.8060389298637,42.0826491555056,37.9482029924574,0.15,500,0.752402945394057,0.616015430100568,0.918987032752137,0.672480142451379,0.550580173459206,0.821369100798058
2016,255.462721366694,40.2708635684869,24.5256752149637,14.548604935916,6.42577772195894,8.48718384907909,0.15,500,0.510925442733389,0.418310372495809,0.624045744968767,0.221485253730269,0.181336788582251,0.270522699797955
2017,281.744231259669,28.733475925706,21.3115192724417,11.0399837672382,6.42577772195894,6.87442802480814,0.15,500,0.563488462519339,0.461345333269212,0.688246362312554,0.162663561771914,0.133177660427866,0.198677723000373
2018,262.554164996808,36.2898140953234,16.8884839324155,18.6483662927535,6.42577772195894,8.43463344979077,0.15,500,0.525108329993616,0.429922338463194,0.641368762587083,0.214168720827397,0.175346518088763,0.261586266330219
2019,214.631210321039,33.5971010222938,12.542133509939,7.51273953672948,6.42577772195894,5.06279467908788,0.15,500,0.429262420642078,0.351450344920366,0.524302304546745,0.157255622221798,0.128750014007399,0.192072450717898
2020,321.838640455236,36.4783464441242,34.1432156100088,10.725466326496,6.42577772195894,6.77393356468213,0.15,500,0.643677280910471,0.526998384939018,0.786189206269088,0.140317387104306,0.114882160013843,0.171384043627028
